avg_nutrition_score,avg_toxicity_score,avg_processed_score,avg_hormonal_score,avg_overall_score,scan_frequency_weekly,scan_count,healthy_scan_ratio,high_toxicity_ratio,cosmetic_ratio,food_ratio,label
54,87,98,27,35,4,20,0.19,0.96,0.02,0.98,processed_food_heavy
47,61,70,66,37,4,22,0.31,0.76,0.12,0.83,processed_food_heavy
86,21,44,14,76,12,52,0.43,0.19,0.0,0.72,balanced_user
71,25,27,36,70,14,45,0.89,0.38,0.06,0.6,healthy_trend
46,35,59,23,57,9,39,0.8,0.27,0.07,0.84,balanced_user
37,73,63,17,46,10,42,0.31,0.83,0.01926046661728215,0.83,toxin_risk
66,91,41,45,47,10,43,0.53,1.0,0.28,0.85,toxin_risk
65,93,32,53,46,8,32,0.25,0.89,0.15,0.87,toxin_risk
41,63,59,89,32,4,19,0.15,0.58,0.93,0.51,hormonal_risk
39,50,35,35,54,4,20,0.59,0.81,0.15405442050618717,0.51,balanced_user
73,66,67,52,47,6,24,0.07,0.66,0.12,0.99,processed_food_heavy
78,12,48,0,79,11,43,0.62,0.14,0.21,0.73,healthy_trend
39,27,50,2,65,8,25,0.63,0.44,0.2,0.6,balanced_user
100,37,38,16,77,13,49,0.71,0.34,0.12980753898021896,0.42,balanced_user
73,80,34,100,39,11,48,0.29,0.66,0.63,0.25,hormonal_risk
48,57,18,44,57,1,1,0.31,0.45,0.13724157408097656,0.0,toxin_risk
73,89,28,58,49,9,40,0.47,0.91,0.59,0.71,hormonal_risk
46,14,100,44,47,1,1,0.27,0.09,0.2,0.86,processed_food_heavy
37,66,100,56,28,8,45,0.27,0.68,0.12,0.64,processed_food_heavy
55,91,43,25,49,2,10,0.33,0.66,0.06373697299762528,0.63,toxin_risk
44,79,47,64,38,12,49,0.55,0.77,0.4,0.26,hormonal_risk
59,74,42,79,41,6,20,0.18,0.8,0.0,0.0,hormonal_risk
72,48,79,37,52,4,15,0.32,0.69,0.07,0.89,toxin_risk
52,21,70,92,42,3,10,0.35,0.06,0.13813320438682283,0.0,hormonal_risk
92,12,34,0,86,11,49,0.91,0.06,0.18,0.63,healthy_trend
88,69,45,47,56,10,36,0.24,0.46,0.3,0.8,toxin_risk
64,49,69,34,53,5,14,0.43,0.54,0.24,0.87,balanced_user
48,60,45,28,53,10,34,0.77,0.56,0.07,0.84,balanced_user
15,85,61,53,29,10,43,0.45,0.9,0.3,0.76,toxin_risk
92,92,31,99,42,7,34,0.19,1.0,0.79,0.45,hormonal_risk
17,69,41,100,26,5,18,0.48,0.71,0.0,0.64,hormonal_risk
51,35,67,100,37,12,38,0.41,0.49,0.55,0.52,hormonal_risk
62,33,37,10,70,12,45,0.72,0.16,0.05386247264624357,0.63,balanced_user
47,77,44,59,41,11,38,0.34,0.65,0.09,0.63,toxin_risk
89,15,53,57,66,17,71,0.67,0.14,0.26,0.48,healthy_trend
82,5,54,45,69,15,54,0.86,0.0,0.31,0.82,healthy_trend
66,48,29,33,64,15,53,0.59,0.51,0.10874071317692272,0.47,healthy_trend
44,70,35,83,39,5,23,0.41,0.79,0.56,0.5,hormonal_risk
76,24,73,38,60,5,25,0.57,0.38,0.32,0.7,balanced_user
19,61,75,66,29,6,23,0.13,0.68,0.011931987542978846,0.66,processed_food_heavy
69,59,27,8,68,9,31,0.78,0.65,0.0,0.88,healthy_trend
37,59,56,34,47,6,21,0.36,0.58,0.0,0.69,balanced_user
39,88,48,64,34,4,12,0.55,0.94,0.9,0.38,hormonal_risk
92,39,26,27,75,8,29,0.68,0.3,0.043535129219361604,0.7,healthy_trend
85,45,0,26,78,10,35,0.59,0.74,0.29,0.56,healthy_trend
58,57,59,100,35,4,18,0.26,0.59,0.51,0.43,hormonal_risk
65,86,74,19,46,6,25,0.16,0.86,0.18,0.57,toxin_risk
76,58,25,24,67,11,45,0.79,0.48,0.06139409355830772,0.0,balanced_user
50,41,87,92,32,8,39,0.34,0.28,0.14,0.76,processed_food_heavy
75,48,48,43,59,13,52,0.68,0.57,0.2,0.8,balanced_user
40,61,96,34,37,8,36,0.42,0.74,0.02506309987605414,0.0,processed_food_heavy
72,62,42,51,54,11,47,0.24,0.67,0.19,0.48,toxin_risk
59,59,37,31,58,1,1,0.58,0.57,0.22,0.47,healthy_trend
79,49,57,30,60,6,31,0.15,0.45,0.25,0.72,toxin_risk
66,40,80,29,54,8,23,0.41,0.4,0.07,0.57,balanced_user
69,28,61,37,60,16,68,0.73,0.46,0.21,0.82,healthy_trend
80,82,56,36,51,12,43,0.18,0.81,0.13,0.74,toxin_risk
55,93,80,25,39,1,5,0.39,0.86,0.29,0.66,toxin_risk
45,63,39,33,52,7,19,0.42,0.85,0.34,0.44,balanced_user
31,79,100,91,15,6,23,0.21,0.88,0.13,0.61,processed_food_heavy
81,68,38,10,66,6,25,0.54,0.83,0.15,0.56,balanced_user
85,78,55,39,53,8,30,0.28,0.74,0.06,0.82,toxin_risk
45,82,10,65,47,11,44,0.25,0.95,0.81,0.69,hormonal_risk
25,71,75,65,28,6,27,0.46,0.82,0.48,0.5,hormonal_risk
69,59,40,73,49,5,21,0.51,0.53,0.77,0.31,hormonal_risk
48,93,98,41,29,8,28,0.28,0.95,0.02,0.8,processed_food_heavy
89,50,36,18,71,14,50,0.75,0.62,0.1,0.47,balanced_user
29,100,66,79,21,7,27,0.39,1.0,0.57,0.25,hormonal_risk
13,63,52,48,37,7,30,0.39,0.78,0.12,0.73,processed_food_heavy
47,63,50,86,37,9,34,0.35,0.58,0.35,0.32,hormonal_risk
20,50,53,90,31,2,15,0.48,0.55,0.83,0.31,hormonal_risk
78,1,27,5,86,16,63,0.84,0.0,0.32,0.79,healthy_trend
58,60,38,40,55,14,54,0.55,0.39,0.06,0.82,balanced_user
42,34,77,43,47,6,28,0.08,0.47,0.2,0.6,processed_food_heavy
46,52,59,21,53,4,22,0.15,0.34,0.16,0.47,toxin_risk
68,26,38,59,61,11,43,0.66,0.22,0.21,0.48,balanced_user
50,53,38,48,52,2,5,0.72,0.61,0.16,0.9,balanced_user
38,45,59,31,50,3,11,0.69,0.53,0.07,0.79,balanced_user
43,59,54,94,34,8,43,0.42,0.68,0.89,0.53,hormonal_risk
81,60,30,35,64,10,42,0.93,0.6,0.15315083683540195,0.65,healthy_trend
45,69,66,31,44,7,27,0.55,0.54,0.31,0.7,toxin_risk
87,21,53,29,71,6,25,0.89,0.08,0.38,0.64,healthy_trend
62,66,100,60,34,4,16,0.29,0.67,0.08,0.0,processed_food_heavy
53,81,95,29,37,2,12,0.04,0.67,0.09,0.81,processed_food_heavy
60,68,76,41,43,5,11,0.35,0.45,0.15,0.73,processed_food_heavy
46,41,74,34,49,9,34,0.48,0.33,0.0,0.87,toxin_risk
15,95,45,24,37,12,60,0.48,0.7,0.0,0.71,toxin_risk
53,51,36,37,57,6,27,0.57,0.45,0.12350566962871466,0.62,balanced_user
82,24,48,28,70,9,37,0.88,0.22,0.1624848605879101,0.62,healthy_trend
0,41,64,77,29,7,33,0.28,0.36,0.18,0.93,processed_food_heavy
58,100,83,50,31,1,9,0.1,1.0,0.1,0.65,processed_food_heavy
100,27,0,14,89,2,9,0.87,0.15,0.35,0.71,healthy_trend
95,50,32,20,73,10,46,0.73,0.4,0.08,0.72,healthy_trend
80,37,39,13,72,7,20,0.46,0.52,0.05,0.68,balanced_user
57,63,100,35,39,8,37,0.12,0.85,0.11,0.75,processed_food_heavy
33,61,92,67,28,4,13,0.04,0.57,0.13,0.88,processed_food_heavy
50,50,30,31,59,3,17,0.59,0.49,0.3,0.0,toxin_risk
98,26,25,26,80,18,73,0.85,0.4,0.2,0.47,healthy_trend
28,30,83,56,39,1,5,0.21,0.17,0.01683849328781496,0.74,processed_food_heavy
41,12,27,37,66,14,64,0.64,0.0,0.33,0.53,balanced_user
29,47,100,64,29,8,29,0.29,0.36,0.09,0.74,processed_food_heavy
26,77,81,54,28,2,9,0.33,0.92,0.04,0.96,processed_food_heavy
52,100,40,45,41,8,30,0.53,0.88,0.14,0.82,toxin_risk
51,79,32,100,35,3,17,0.42,0.98,0.261213578970873,0.35,hormonal_risk
61,72,52,17,55,4,17,0.16,0.42,0.09,0.85,toxin_risk
31,77,100,73,20,2,6,0.41,0.43,0.14,0.79,processed_food_heavy
40,75,57,72,34,2,10,0.52,0.98,0.385064644698939,0.37,hormonal_risk
49,65,77,31,44,4,16,0.29,0.79,0.19,0.93,processed_food_heavy
66,68,28,43,56,6,18,0.26,0.7,0.08,0.65,toxin_risk
72,20,37,36,69,12,47,0.42,0.17,0.16,0.62,balanced_user
54,78,80,25,42,8,35,0.06,0.71,0.01,0.66,processed_food_heavy
72,44,66,2,65,13,54,0.65,0.43,0.15,0.56,balanced_user
57,56,64,18,54,5,20,0.64,0.41,0.07,0.63,balanced_user
64,77,52,54,45,11,50,0.48,0.65,0.12,0.78,toxin_risk
81,17,0,8,89,1,4,0.9,0.16,0.0,0.0,healthy_trend
54,10,34,19,72,3,15,0.65,0.1,0.19,0.5,balanced_user
84,46,20,21,74,9,35,0.58,0.42,0.1,0.54,healthy_trend
48,76,84,75,28,8,29,0.02,0.78,0.1,0.89,processed_food_heavy
80,85,31,28,59,13,60,0.85,0.74,0.1,0.73,healthy_trend
56,61,33,38,56,14,60,0.75,0.52,0.028729396316375208,0.63,balanced_user
86,75,61,93,39,3,15,0.35,0.62,0.82,0.0,hormonal_risk
55,55,50,78,43,9,35,0.1,0.5,0.84,0.27,hormonal_risk
60,88,83,100,22,3,2,0.48,0.61,0.2505381174145236,0.45,hormonal_risk
90,43,31,0,79,11,46,0.73,0.13,0.24,0.69,healthy_trend
70,46,50,60,53,10,37,0.5,0.21,0.8,0.34,hormonal_risk
2,35,94,43,32,3,13,0.41,0.18,0.18,0.95,processed_food_heavy
52,98,71,60,30,11,41,0.4,0.96,0.14879532458382821,0.27,hormonal_risk
79,14,13,0,88,8,33,0.64,0.09,0.13728005629290638,0.56,healthy_trend
49,79,61,79,32,3,11,0.36,1.0,0.15535761282914756,0.37,hormonal_risk
51,37,54,48,53,2,13,0.29,0.4,0.0,0.24,hormonal_risk
25,56,67,54,37,5,19,0.4,0.71,0.15,1.0,processed_food_heavy
48,100,41,85,30,2,1,0.54,1.0,0.2695159040779188,0.26,hormonal_risk
60,26,44,37,63,5,24,0.58,0.26,0.23,0.57,balanced_user
72,32,40,37,65,4,19,0.45,0.16,0.25,0.61,balanced_user
42,100,60,0,45,7,26,0.47,0.92,0.25,0.95,toxin_risk
38,85,58,26,42,3,8,0.42,0.81,0.11,0.88,processed_food_heavy
96,43,1,17,83,18,76,0.72,0.23,0.32,0.57,healthy_trend
93,26,50,13,76,15,52,0.92,0.16,0.26,0.8,healthy_trend
78,45,77,60,49,4,7,0.08,0.15,0.09,0.64,processed_food_heavy
91,19,74,51,61,8,27,0.62,0.27,0.26,0.53,healthy_trend
73,35,21,52,66,11,29,0.37,0.34,0.16,0.73,balanced_user
60,75,53,94,34,10,44,0.34,0.83,0.62,0.0,hormonal_risk
78,27,1,34,79,10,41,0.62,0.32,0.17604139569181032,0.51,healthy_trend
100,45,25,19,77,9,34,0.77,0.3,0.0,0.78,balanced_user
71,17,70,34,62,3,2,0.51,0.15,0.1,0.89,balanced_user
70,83,51,34,50,4,17,0.59,1.0,0.33,0.73,toxin_risk
100,59,47,33,65,17,67,0.8,0.75,0.14,0.86,healthy_trend
79,21,11,25,80,16,64,0.78,0.25,0.31,0.71,healthy_trend
73,21,49,27,69,9,33,0.74,0.19,0.18473643791593508,0.63,healthy_trend
13,66,86,26,33,1,4,0.32,0.56,0.0910339819903888,0.83,processed_food_heavy
84,0,40,41,75,6,36,0.42,0.19,0.24,0.69,balanced_user
37,68,33,41,48,11,54,0.25,0.7,0.0,0.32,hormonal_risk
98,34,33,53,69,14,50,0.68,0.32,0.0,0.79,healthy_trend
59,33,15,14,74,8,32,0.56,0.23,0.0,0.59,balanced_user
11,63,48,58,35,2,7,0.54,0.63,0.89,0.58,hormonal_risk
77,14,38,20,76,12,52,0.85,0.02,0.33,0.46,healthy_trend
81,85,57,59,45,5,16,0.19,0.85,0.12,0.63,toxin_risk
58,34,49,36,59,12,47,0.35,0.39,0.08,0.71,balanced_user
72,43,25,50,63,7,28,0.45,0.32,0.27,0.69,balanced_user
76,8,25,17,81,2,5,0.71,0.18,0.31,0.0,healthy_trend
56,89,38,52,44,2,5,0.58,0.98,0.35,0.64,toxin_risk
52,33,87,42,47,8,36,0.28,0.15,0.15,0.67,processed_food_heavy
41,63,66,22,47,3,22,0.3,0.57,0.2,0.77,processed_food_heavy
73,100,58,7,52,9,35,0.38,1.0,0.16,0.72,toxin_risk
66,51,48,100,41,11,46,0.16,0.56,0.81,0.28,hormonal_risk
67,59,15,42,62,13,54,0.76,0.46,0.21,0.89,healthy_trend
81,59,66,42,53,6,23,0.36,0.66,0.09,0.55,balanced_user
49,51,64,48,46,4,17,0.48,0.73,0.13,0.62,toxin_risk
93,25,73,19,69,9,47,0.9,0.34,0.153282592791883,0.89,healthy_trend
61,46,32,0,70,1,7,0.84,0.6,0.25,0.71,healthy_trend
52,44,34,100,43,10,36,0.13,0.62,0.78,0.73,hormonal_risk
100,6,0,1,98,9,37,0.71,0.0,0.37,0.8,healthy_trend
92,69,24,22,69,11,44,0.36,0.73,0.11214768190832688,0.62,balanced_user
57,100,58,49,37,12,45,0.23,0.76,0.0,0.69,toxin_risk
68,99,42,100,31,4,14,0.47,1.0,0.186761068636437,0.68,hormonal_risk
100,80,40,70,52,10,44,0.29,0.92,0.84,0.23,hormonal_risk
53,67,16,64,51,8,30,0.34,0.7,0.06,0.65,toxin_risk
53,83,31,100,34,2,1,0.16,0.85,0.68,0.66,hormonal_risk
58,48,48,6,64,4,10,0.58,0.62,0.28,0.86,balanced_user
73,43,26,35,67,3,9,0.56,0.75,0.22,0.83,balanced_user
66,76,44,52,48,16,66,0.67,0.74,0.19,0.79,healthy_trend
53,95,21,32,51,9,37,0.26,1.0,0.31,0.56,toxin_risk
74,43,53,48,57,5,20,0.74,0.45,0.2,0.58,balanced_user
55,34,59,43,54,1,11,0.18,0.32,0.18,0.67,processed_food_heavy
76,75,25,63,53,3,5,0.37,0.97,0.53,0.32,hormonal_risk
55,91,55,42,41,2,8,0.25,0.93,0.17,0.66,toxin_risk
91,32,35,27,74,13,48,0.77,0.34,0.025860047902769433,0.67,healthy_trend
84,30,0,27,81,8,29,0.65,0.41,0.1437995760923842,0.65,healthy_trend
78,14,45,28,72,7,30,0.86,0.0,0.12,0.8,healthy_trend
53,83,85,23,40,8,30,0.29,0.75,0.09,0.94,processed_food_heavy
27,47,73,24,45,10,36,0.51,0.52,0.22,0.79,balanced_user
87,38,5,4,85,1,1,0.76,0.32,0.17,0.63,healthy_trend
96,38,55,10,73,7,26,0.64,0.37,0.38,0.8,healthy_trend
68,22,33,37,69,8,31,0.7,0.15,0.22,0.76,healthy_trend
53,27,22,21,70,8,31,0.7,0.45,0.016089160613218113,0.44,balanced_user
37,58,57,78,36,6,28,0.32,0.63,0.64,0.39,hormonal_risk
78,43,56,73,51,4,8,0.4,0.63,0.33,0.46,hormonal_risk
38,66,18,54,50,3,10,0.2,0.47,0.63,0.49,hormonal_risk
52,89,62,30,42,10,31,0.52,0.94,0.05672045355724225,0.5,toxin_risk
46,71,90,61,31,6,20,0.43,0.82,0.12,0.89,processed_food_heavy
40,45,62,31,50,6,18,0.37,0.4,0.01,0.82,processed_food_heavy
78,70,36,15,64,7,26,0.76,0.67,0.23,0.65,balanced_user
57,50,19,26,65,10,37,0.74,0.34,0.16,0.64,balanced_user
100,47,43,51,64,14,50,0.7,0.34,0.36,0.0,healthy_trend
44,61,19,20,61,14,55,0.43,0.46,0.0,0.61,balanced_user
41,79,36,33,48,7,15,0.41,0.79,0.29,0.66,toxin_risk
71,75,42,43,52,4,20,0.33,0.6,0.08,0.58,toxin_risk
42,37,22,62,55,4,28,0.39,0.4,0.64,0.0,hormonal_risk
64,53,41,60,52,8,35,0.47,0.49,0.31,0.52,hormonal_risk
74,42,49,33,62,16,65,0.82,0.54,0.37,0.52,healthy_trend
66,55,42,27,60,2,16,0.54,0.5,0.3,0.43,balanced_user
100,20,11,3,91,18,70,0.59,0.36,0.09,0.8,healthy_trend
8,42,89,63,28,5,24,0.21,0.38,0.19,0.89,processed_food_heavy
59,72,51,47,47,4,19,0.48,0.99,0.23,0.49,toxin_risk
71,34,11,18,77,3,11,0.54,0.51,0.07464359779346236,0.0,balanced_user
45,48,89,55,38,2,1,0.19,0.54,0.06,0.93,processed_food_heavy
39,37,55,37,52,2,8,0.04,0.3,0.05685130554463478,0.64,processed_food_heavy
49,26,64,33,56,3,9,0.79,0.26,0.0,0.88,balanced_user
46,59,88,24,43,2,8,0.04,0.37,0.0,0.93,processed_food_heavy
64,50,37,73,51,4,27,0.13,0.51,0.48,0.26,hormonal_risk
52,74,100,41,34,6,32,0.03,0.76,0.1,0.0,processed_food_heavy
18,68,100,43,26,1,1,0.43,0.83,0.17,0.92,processed_food_heavy
83,76,63,40,51,2,2,0.34,0.7,0.19,0.53,toxin_risk
58,98,100,41,29,1,3,0.41,1.0,0.17,0.77,processed_food_heavy
43,38,76,32,49,3,13,0.05,0.36,0.13,0.69,processed_food_heavy
74,55,73,24,55,7,40,0.24,0.6,0.03258970605877716,0.0,processed_food_heavy
24,83,41,31,42,4,17,0.48,0.72,0.29,0.61,toxin_risk
49,73,63,89,31,8,35,0.38,0.77,0.0,0.0,hormonal_risk
51,37,10,22,70,12,48,0.72,0.53,0.35,0.73,healthy_trend
65,22,38,43,65,14,64,0.41,0.06,0.17,0.55,balanced_user
71,32,22,14,75,14,53,0.84,0.24,0.02107699291743638,0.87,healthy_trend
23,33,79,37,43,4,24,0.31,0.34,0.025049723825349365,0.78,processed_food_heavy
38,72,90,48,32,2,13,0.23,0.68,0.04,0.97,processed_food_heavy
70,52,50,15,63,11,36,0.71,0.7,0.1758785732329067,0.89,healthy_trend
70,18,29,4,79,10,39,0.62,0.17,0.28,0.52,healthy_trend
83,61,30,7,71,12,56,0.81,0.44,0.058284415960671944,0.76,healthy_trend
55,63,44,60,47,3,10,0.52,0.48,0.38,0.54,hormonal_risk
84,12,19,11,85,17,63,0.79,0.19,0.12,0.0,healthy_trend
26,59,62,21,46,7,27,0.08,0.52,0.0,0.77,processed_food_heavy
45,54,54,81,39,2,5,0.31,0.55,0.65,0.24,hormonal_risk
56,31,55,35,58,8,31,0.49,0.32,0.32,0.82,balanced_user
44,72,56,40,44,2,1,0.58,0.63,0.10121879323737727,0.47,toxin_risk
75,64,49,27,58,8,27,0.41,0.89,0.2,0.82,toxin_risk
97,80,76,81,40,1,1,0.46,0.73,0.69,0.31,hormonal_risk
62,71,60,64,41,11,48,0.45,0.61,0.08,0.68,toxin_risk
95,52,37,54,63,7,30,0.6,0.66,0.33,0.0,balanced_user
62,38,57,83,46,8,39,0.26,0.27,0.28943712622799483,0.27,hormonal_risk
29,42,75,51,40,2,13,0.3,0.61,0.11,0.87,processed_food_heavy
89,57,50,54,57,2,6,0.47,0.75,0.27,0.77,toxin_risk
25,76,59,20,42,11,45,0.37,0.82,0.055249899396761316,0.54,toxin_risk
48,47,42,28,57,14,54,0.76,0.49,0.18,0.42,balanced_user
17,57,80,14,41,2,4,0.04,0.64,0.0,0.0,processed_food_heavy
40,81,88,65,26,6,21,0.42,0.95,0.13,0.95,processed_food_heavy
89,3,13,35,84,18,72,0.71,0.02,0.36,0.72,healthy_trend
62,19,30,8,76,16,66,0.88,0.38,0.07,0.0,healthy_trend
70,100,48,28,48,5,23,0.44,0.91,0.07773707335061085,0.0,toxin_risk
69,83,29,30,56,11,41,0.4,0.9,0.141578090943028,0.62,toxin_risk
55,77,79,100,24,7,25,0.23,0.85,0.81,0.33,hormonal_risk
55,48,45,91,42,12,43,0.53,0.63,0.46,0.36,hormonal_risk
77,30,44,8,73,9,35,0.95,0.36,0.0,0.64,healthy_trend
56,60,53,55,47,10,37,0.41,0.44,0.9,0.48,hormonal_risk
43,47,51,44,50,7,27,0.53,0.38,0.100655127852888,0.58,balanced_user
42,45,44,100,38,10,43,0.3,0.49,0.33,0.46,hormonal_risk
96,37,56,0,75,2,18,0.66,0.37,0.08,0.7,healthy_trend
86,7,69,21,72,6,22,0.58,0.14,0.07,0.45,healthy_trend
45,61,58,100,31,1,1,0.11,0.51,0.63,0.54,hormonal_risk
40,61,83,50,36,11,47,0.43,0.57,0.36,0.32,hormonal_risk
71,100,56,24,47,5,18,0.39,0.8,0.0,0.5,toxin_risk
31,29,14,9,69,9,44,0.41,0.37,0.07,0.82,balanced_user
70,20,20,20,77,1,3,0.69,0.23,0.022932565238820563,0.47,healthy_trend
96,38,42,21,73,4,18,0.36,0.39,0.16,0.59,balanced_user
64,46,100,56,40,1,7,0.1,0.76,0.12,0.88,processed_food_heavy
87,21,30,42,73,14,57,0.91,0.39,0.0,0.5,healthy_trend
34,82,29,43,45,2,5,0.44,0.83,0.33,0.87,toxin_risk
93,21,38,10,81,16,62,0.57,0.2,0.33,0.48,healthy_trend
70,50,36,14,67,15,48,0.7,0.54,0.09747837053717058,0.64,healthy_trend
75,68,50,63,48,8,31,0.18,0.48,0.11,0.49,toxin_risk
41,62,21,32,56,4,12,0.51,0.7,0.052917625283872366,0.52,toxin_risk
66,24,62,27,63,7,24,0.47,0.15,0.21,0.43,balanced_user
42,82,80,32,37,4,12,0.33,0.88,0.01,0.87,processed_food_heavy
41,29,27,16,67,4,20,0.73,0.22,0.12360121368910182,0.88,balanced_user
56,50,49,38,54,9,36,0.35,0.6,0.11,0.7,toxin_risk
38,91,70,25,38,6,26,0.16,0.97,0.06,0.71,processed_food_heavy
64,73,35,47,52,1,1,0.44,0.59,0.57,0.28,hormonal_risk
48,42,49,100,39,6,22,0.41,0.38,0.1711816810325294,0.34,hormonal_risk
65,92,44,31,49,7,28,0.41,0.94,0.18,0.79,toxin_risk
71,48,58,74,47,9,37,0.28,0.62,0.6,0.6,hormonal_risk
91,24,24,27,79,2,1,0.66,0.4,0.07,0.6,balanced_user
68,42,39,32,63,12,44,0.68,0.45,0.39,0.7,healthy_trend
66,37,16,15,74,16,53,0.84,0.41,0.12105901149574194,0.64,healthy_trend
43,57,97,30,39,3,10,0.05,0.67,0.14,0.87,processed_food_heavy
100,42,43,35,70,14,61,0.8,0.63,0.32,0.51,healthy_trend
88,60,54,64,52,3,22,0.17,0.73,0.13,0.55,toxin_risk
88,19,46,0,80,14,61,0.91,0.31,0.07,0.71,healthy_trend
56,63,47,90,39,3,13,0.22,0.62,0.74,0.0,hormonal_risk
43,62,39,35,51,6,19,0.4,0.52,0.11,0.63,toxin_risk
84,90,31,40,55,3,15,0.31,0.83,0.05,0.65,toxin_risk
60,79,35,18,57,11,43,0.58,0.61,0.27,0.74,toxin_risk
37,77,70,58,33,8,26,0.28,0.89,0.0,0.95,processed_food_heavy
50,50,43,77,45,6,22,0.53,0.5,0.17849101078688115,0.7,hormonal_risk
77,59,55,47,54,7,31,0.54,0.6,0.12,0.0,toxin_risk
55,75,72,45,40,4,15,0.19,0.7,0.17,1.0,processed_food_heavy
54,69,50,94,35,7,26,0.42,0.76,0.0,0.56,hormonal_risk
46,19,40,36,62,5,29,0.54,0.2,0.06293885014383087,0.48,balanced_user
76,97,34,29,54,12,49,0.19,1.0,0.24,0.0,toxin_risk
39,72,93,0,43,5,17,0.39,0.68,0.16,0.94,processed_food_heavy
32,66,79,34,38,5,18,0.16,0.63,0.17,0.75,processed_food_heavy
23,87,96,32,27,7,21,0.06,0.84,0.07,0.83,processed_food_heavy
67,73,36,0,64,10,39,0.85,0.79,0.31,0.64,healthy_trend
54,74,44,19,54,13,51,0.76,0.75,0.16,0.76,balanced_user
83,0,64,14,76,18,72,0.77,0.09,0.02364122148088437,0.72,healthy_trend
45,53,88,50,38,3,9,0.37,0.51,0.16,0.54,toxin_risk
40,55,30,82,43,7,28,0.18,0.63,0.37,0.48,hormonal_risk
56,71,91,50,36,1,7,0.09,0.9,0.0,0.67,processed_food_heavy
45,52,72,61,40,10,33,0.24,0.6,0.78,0.32,hormonal_risk
48,87,63,68,32,7,33,0.42,0.81,0.31,0.35,hormonal_risk
81,69,34,0,69,2,4,0.44,0.76,0.35,0.85,toxin_risk
43,53,38,52,50,10,43,0.59,0.45,0.33,0.85,balanced_user
65,0,37,9,79,3,22,0.66,0.0,0.14,0.69,healthy_trend
91,20,24,3,86,15,64,0.65,0.26,0.35,0.79,healthy_trend
48,76,55,60,39,11,39,0.47,0.81,0.24,0.45,toxin_risk
54,91,76,55,33,3,9,0.22,0.71,0.14556747055264166,0.92,toxin_risk
69,26,27,49,66,14,60,0.45,0.22,0.29,0.49,balanced_user
82,53,41,31,64,11,48,0.45,0.58,0.11,0.73,toxin_risk
94,57,36,0,75,6,10,0.78,0.58,0.18,0.77,healthy_trend
74,16,57,23,69,16,65,0.72,0.21,0.10187993319569365,0.74,healthy_trend
61,83,37,18,55,12,53,0.46,0.85,0.012083091770823902,0.84,toxin_risk
32,55,39,28,52,14,56,0.64,0.62,0.09,0.9,balanced_user
62,14,30,36,70,10,43,0.53,0.12,0.06,0.68,balanced_user
81,59,62,58,50,2,5,0.28,0.7,0.7,0.5,hormonal_risk
51,41,48,9,63,3,20,0.6,0.32,0.17,0.63,balanced_user
49,100,77,35,34,12,46,0.16,1.0,0.34,0.74,toxin_risk
79,49,36,21,68,9,32,0.74,0.59,0.03065659665705886,0.72,healthy_trend
34,97,62,93,20,12,51,0.22,1.0,0.76,0.74,hormonal_risk
34,76,63,44,37,3,10,0.43,0.66,0.07,0.0,processed_food_heavy
49,58,55,98,34,3,15,0.36,0.73,0.65,0.23,hormonal_risk
25,81,73,74,24,8,27,0.03,0.61,0.04,0.77,processed_food_heavy
34,78,32,34,47,4,11,0.26,0.68,0.13,0.7,toxin_risk
43,80,57,59,36,4,17,0.11,0.71,0.16,0.81,processed_food_heavy
56,53,53,23,56,6,24,0.47,0.44,0.07,0.79,toxin_risk
59,100,82,14,40,2,12,0.15,0.88,0.19,0.65,processed_food_heavy
74,86,56,51,45,7,29,0.37,0.63,0.31,0.92,toxin_risk
46,93,53,46,38,2,1,0.42,0.83,0.0,0.0,processed_food_heavy
43,91,74,17,40,2,8,0.03,1.0,0.08,0.66,processed_food_heavy
74,29,55,90,50,3,12,0.11,0.24,0.73,0.25,hormonal_risk
49,76,100,51,30,5,20,0.14,0.69,0.06,0.7,processed_food_heavy
61,47,44,9,65,3,8,0.62,0.52,0.13,0.0,balanced_user
48,79,42,13,53,1,2,0.4,0.79,0.18,0.76,toxin_risk
92,3,0,13,94,14,68,0.75,0.07,0.35,0.68,healthy_trend
72,17,36,20,74,14,61,0.88,0.0,0.28,0.53,healthy_trend
56,24,49,48,58,12,44,0.61,0.14,0.16,0.7,balanced_user
75,37,17,41,70,18,72,0.86,0.67,0.39,0.84,healthy_trend
57,37,32,19,67,3,9,0.8,0.31,0.33,0.6,balanced_user
65,73,71,41,45,5,9,0.18,0.63,0.0209452869019918,0.84,processed_food_heavy
48,67,80,100,25,7,28,0.4,0.89,0.21179001004246528,0.55,hormonal_risk
100,35,36,51,69,11,49,0.85,0.26,0.17050239067646605,0.46,healthy_trend
62,16,11,2,83,9,37,0.9,0.2,0.37,0.55,healthy_trend
42,79,88,45,32,3,14,0.31,0.82,0.13,0.77,processed_food_heavy
82,32,24,16,77,11,51,0.54,0.35,0.25,0.43,balanced_user
70,21,3,4,85,7,25,0.8,0.0,0.2,0.82,healthy_trend
19,98,50,19,38,7,23,0.49,0.98,0.31,0.52,toxin_risk
57,88,39,86,36,2,5,0.29,0.87,0.0,0.64,hormonal_risk
67,23,39,11,73,12,39,0.21,0.0,0.08838612304338132,0.76,toxin_risk
